iter	MAE
0	371980.2622
1	357916.3721
2	344208.9922
3	334327.4623
4	322373.3797
5	314005.1969
6	302322.2746
7	293098.5269
8	284874.9876
9	278195.2243
10	267252.1781
11	260897.0686
12	250799.9561
13	244986.9894
14	237062.014
15	229590.3001
16	222594.3461
17	217212.6969
18	211076.3944
19	203937.0411
20	198503.0746
21	192892.5035
22	187753.8795
23	181628.3618
24	176811.835
25	172930.6638
26	169763.1647
27	165014.0696
28	160258.3302
29	155234.9256
30	150945.9455
31	147611.063
32	145099.0741
33	142402.3554
34	139136.9295
35	135315.6955
36	131264.0538
37	129253.593
38	126448.0927
39	123118.0822
40	121489.9778
41	120233.8144
42	118633.3288
43	116712.9243
44	114810.3869
45	113158.4952
46	110616.0053
47	108096.8729
48	107240.8933
49	105143.8204
50	102774.9124
51	101672.9638
52	101012.7323
53	99708.78788
54	97990.14621
55	96214.69777
56	94955.60666
57	94076.9112
58	92269.00973
59	90925.34573
60	89691.71473
61	88497.41758
62	87760.4644
63	86587.65686
64	85694.50278
65	85214.75973
66	84589.63411
67	83097.30404
68	81798.18896
69	80995.9982
70	79674.55978
71	78846.69362
72	77814.7117
73	76754.48932
74	75906.9577
75	75483.46313
76	75003.56062
77	74220.64347
78	73435.2907
79	72519.37086
80	71597.88666
81	71402.7128
82	70502.29836
83	69836.24777
84	69071.51534
85	68418.6335
86	67827.74169
87	66920.04646
88	66417.79034
89	66002.5743
90	65299.23166
91	65016.39125
92	64482.41661
93	63875.95646
94	63107.39267
95	62567.00906
96	62074.81511
97	61692.53967
98	61122.37017
99	60650.71173
100	60164.60691
101	59924.60938
102	59694.78966
103	59114.98025
104	58559.81027
105	57848.9325
106	57138.19274
107	56558.21356
108	56072.97487
109	55818.18831
110	55501.06325
111	55155.59403
112	54631.86069
113	53774.84554
114	53269.75021
115	52920.33284
116	52580.03723
117	52012.8857
118	51701.0374
119	51149.91256
120	50909.57092
121	50659.04826
122	50219.69531
123	49753.89407
124	49550.31426
125	49102.26353
126	48703.75847
127	48400.93811
128	48145.95793
129	47836.47547
130	47380.62933
131	47072.53644
132	45852.17827
133	45371.13799
134	45087.99312
135	44938.23787
136	44736.53333
137	44482.02384
138	44135.30026
139	43638.23248
140	42941.86992
141	42616.93159
142	42302.3007
143	41891.76151
144	41645.72662
145	41208.25764
146	40813.96099
147	40570.08984
148	40418.64181
149	40254.42907
150	40118.68932
151	39958.2
152	39840.38341
153	39709.32135
154	39649.09728
155	39193.74143
156	39118.82098
157	39016.97321
158	38326.85299
159	37640.81336
160	37367.56751
161	37275.96377
162	37044.51489
163	36975.0589
164	36703.04727
165	36597.75142
166	36245.30707
167	35948.84324
168	35869.85241
169	35650.40754
170	35455.85983
171	35290.68723
172	34949.37394
173	34815.5399
174	34751.82094
175	34644.54354
176	34501.28505
177	34076.30074
178	33981.76071
179	33739.40847
180	33511.06535
181	33225.01824
182	33124.36149
183	32829.07431
184	32670.189
185	32479.64313
186	32404.39917
187	32372.36025
188	32231.72994
189	32132.84341
190	32009.79355
191	31715.04401
192	31652.09025
193	31597.21558
194	31476.62183
195	31432.33238
196	31205.06662
197	31063.86362
198	30783.19092
199	30532.32158
200	30431.54351
201	30310.23781
202	30179.52853
203	30077.62211
204	29930.01209
205	29697.07269
206	29641.4398
207	29563.03005
208	29216.47512
209	29034.05368
210	28858.99042
211	28666.71988
212	28512.69724
213	28464.37354
214	28218.94596
215	28128.93725
216	28003.93361
217	27903.59285
218	27814.86452
219	27730.71038
220	27634.33025
221	27605.83543
222	27395.85384
223	27160.26415
224	27111.34758
225	27001.45143
226	26775.5093
227	26733.03428
228	26589.55123
229	26531.25552
230	26487.73254
231	26434.94557
232	26392.49013
233	26040.26403
234	25891.57768
235	25831.57929
236	25644.37859
237	25613.46746
238	25395.32477
239	25375.99953
240	25333.41987
241	25274.27526
242	25173.28814
243	25050.96189
244	24805.54424
245	24544.65353
246	24455.86456
247	24221.63322
248	24176.14133
249	24109.89083
250	24096.75696
251	23999.9613
252	23915.00842
253	23754.16421
254	23679.72611
255	23594.09853
256	23531.19942
257	23497.35427
258	23297.12696
259	23186.94826
260	23087.51808
261	23055.18349
262	23024.14028
263	22878.75168
264	22795.39628
265	22672.98769
266	22577.51803
267	22484.8814
268	22425.30217
269	22377.20258
270	22238.19156
271	22188.05659
272	22165.88376
273	22137.7167
274	22097.60363
275	21996.33038
276	21811.02842
277	21599.66909
278	21584.671
279	21526.42574
280	21461.82278
281	21433.04841
282	21214.39756
283	21131.3681
284	21023.93664
285	20910.05079
286	20730.45726
287	20710.5182
288	20582.11614
289	20517.9203
290	20458.81897
291	20428.35505
292	20381.43438
293	20361.97949
294	20317.48024
295	20239.46069
296	20136.67025
297	20091.1083
298	20021.84659
299	19788.23951
300	19768.76388
301	19742.91005
302	19618.36456
303	19571.73479
304	19544.4387
305	19519.33765
306	19493.49741
307	19354.04192
308	19336.66065
309	19262.05328
310	19195.98497
311	19175.04707
312	19108.23638
313	19066.45171
314	18989.10645
315	18946.24133
316	18912.16249
317	18889.36506
318	18842.22176
319	18750.00957
320	18704.78669
321	18631.07165
322	18473.23718
323	18280.1878
324	18181.42553
325	18159.70206
326	18059.40902
327	18049.49816
328	18041.49521
329	18016.11421
330	17975.92753
331	17923.72403
332	17877.05778
333	17867.81316
334	17785.23139
335	17740.15394
336	17671.18319
337	17644.0074
338	17632.34878
339	17533.35879
340	17522.37707
341	17300.17817
342	17281.61288
343	17214.75114
344	17157.61101
345	17150.71894
346	17130.57212
347	17099.05034
348	17084.93381
349	17022.10826
350	16995.31458
351	16940.52529
352	16870.81007
353	16841.62794
354	16771.17016
355	16745.43218
356	16729.20942
357	16689.97605
358	16669.90546
359	16656.96364
360	16593.43811
361	16577.18444
362	16439.21459
363	16406.4696
364	16366.301
365	16344.68264
366	16303.091
367	16291.29867
368	16275.47329
369	16250.66287
370	16217.24395
371	16208.36317
372	16172.75054
373	16110.10427
374	16098.16614
375	16024.05774
376	15949.74019
377	15935.58531
378	15924.46358
379	15900.63404
380	15876.68761
381	15854.86095
382	15742.39431
383	15695.14825
384	15573.51136
385	15541.96863
386	15519.20034
