iter	Passed	Remaining
0	0	311
1	0	308
2	1	293
3	1	286
4	1	281
5	2	277
6	2	275
7	2	272
8	3	269
9	3	268
10	3	267
11	4	264
12	4	263
13	4	262
14	5	261
15	5	260
16	5	259
17	5	258
18	6	257
19	6	257
20	6	256
21	7	255
22	7	256
23	7	257
24	8	257
25	8	256
26	8	256
27	9	255
28	9	255
29	9	255
30	10	254
31	10	254
32	10	253
33	11	253
34	11	252
35	11	252
36	12	251
37	12	250
38	12	250
39	13	249
40	13	249
41	13	247
42	14	247
43	14	246
44	14	246
45	15	246
46	15	245
47	15	245
48	15	244
49	16	244
50	16	244
51	16	243
52	17	243
53	17	243
54	17	242
55	18	242
56	18	241
57	18	241
58	19	241
59	19	240
60	19	240
61	20	240
62	20	239
63	20	239
64	21	239
65	21	238
66	21	238
67	22	238
68	22	238
69	22	237
70	23	237
71	23	237
72	23	236
73	24	236
74	24	236
75	24	234
76	24	234
77	25	234
78	25	233
79	25	233
80	26	233
81	26	232
82	26	232
83	27	232
84	27	231
85	27	231
86	28	230
87	28	230
88	28	230
89	29	230
90	29	229
91	29	229
92	30	229
93	30	228
94	30	228
95	31	228
96	31	227
97	31	227
98	32	226
99	32	226
100	32	226
101	32	225
102	33	225
103	33	225
104	33	224
105	34	224
106	34	224
107	34	223
108	35	223
109	35	223
110	35	222
111	36	222
112	36	222
113	36	221
114	37	221
115	37	221
116	37	220
117	38	220
118	38	220
119	38	219
120	39	219
121	39	219
122	39	218
123	40	218
124	40	218
125	40	218
126	41	217
127	41	217
128	41	217
129	42	217
130	42	216
131	42	216
132	43	216
133	43	215
134	43	215
135	44	215
136	44	214
137	44	214
138	45	214
139	45	213
140	45	213
141	45	213
142	46	212
143	46	212
144	46	212
145	47	211
146	47	211
147	47	211
148	48	210
149	48	210
150	48	210
151	49	210
152	49	209
153	49	209
154	50	209
155	50	208
156	50	208
157	51	208
158	51	207
159	51	207
160	52	207
161	52	206
162	52	206
163	53	206
164	53	205
165	53	205
166	54	205
167	54	204
168	54	204
169	55	204
170	55	203
171	55	203
172	56	203
173	56	202
174	56	202
175	57	202
176	57	201
177	57	201
178	58	201
179	58	200
180	58	200
181	58	200
182	59	199
183	59	199
184	59	199
185	60	198
186	60	198
187	60	198
188	61	197
189	61	197
190	61	197
191	62	196
192	62	196
193	62	196
194	63	196
195	63	196
196	63	195
197	64	195
198	64	195
199	64	194
200	65	194
201	65	194
202	65	193
203	66	193
204	66	193
205	66	192
206	67	192
207	67	192
208	67	191
209	68	191
210	68	191
211	68	190
212	69	190
213	69	190
214	69	189
215	70	189
216	70	189
217	70	188
218	71	188
219	71	188
220	71	188
221	72	187
222	72	187
223	72	187
224	73	186
225	73	186
226	73	185
227	74	185
228	74	185
229	74	185
230	74	184
231	75	184
232	75	184
233	75	183
234	76	183
235	76	183
236	77	183
237	77	183
238	78	183
239	78	182
240	78	182
241	79	182
242	79	182
243	79	182
244	80	181
245	80	181
246	80	181
247	81	181
248	81	180
249	82	180
250	82	180
251	82	179
252	83	179
253	83	179
254	83	178
255	84	178
256	84	178
257	84	177
258	85	177
259	85	177
260	85	177
261	86	176
262	86	176
263	86	176
264	87	175
265	87	175
266	87	175
267	88	174
268	88	174
269	88	174
270	88	173
271	89	173
272	89	173
273	89	172
274	90	172
275	90	172
276	90	171
277	91	171
278	91	171
279	91	170
280	92	170
281	92	170
282	92	169
283	93	169
284	93	169
285	93	168
286	94	168
287	94	168
288	94	167
289	95	167
290	95	167
291	95	166
292	96	166
293	96	166
294	96	165
295	97	165
296	97	165
297	97	164
298	98	164
299	98	164
300	98	163
301	99	163
302	99	162
303	99	162
304	100	162
305	100	161
306	100	161
307	100	161
308	101	160
309	101	160
310	101	160
311	102	160
312	102	159
313	102	159
314	103	159
315	103	158
316	104	158
317	104	158
318	104	157
319	105	157
320	105	157
321	105	156
322	106	156
323	106	156
324	106	155
325	107	155
326	107	155
327	107	155
328	108	154
329	108	154
330	108	153
331	108	153
332	109	153
333	109	153
334	109	152
335	110	152
336	110	152
337	110	151
338	111	151
339	111	150
340	111	150
341	112	150
342	112	149
343	112	149
344	113	149
345	113	148
346	113	148
347	114	148
348	114	147
349	114	147
350	115	147
351	115	146
352	115	146
353	116	146
354	116	146
355	116	145
356	117	145
357	117	145
358	117	144
359	118	144
360	118	144
361	118	143
362	119	143
363	119	143
364	119	142
365	120	142
366	120	142
367	120	141
368	121	141
369	121	141
370	121	140
371	122	140
372	122	140
373	122	139
374	122	139
375	123	139
376	123	138
377	123	138
378	124	138
379	124	137
380	124	137
381	125	137
382	125	136
383	125	136
384	126	136
385	126	135
386	126	135
387	127	135
388	127	134
389	127	134
390	128	134
391	128	133
392	128	133
393	129	133
394	129	132
395	129	132
396	130	132
397	130	131
398	130	131
399	131	131
400	131	130
401	131	130
402	132	130
403	132	129
404	132	129
405	133	129
406	133	128
407	133	128
408	134	128
409	134	127
410	134	127
411	134	127
412	135	126
413	135	126
414	135	126
415	136	125
416	136	125
417	136	125
418	137	124
419	137	124
420	137	124
421	138	123
422	138	123
423	138	123
424	139	122
425	139	122
426	139	122
427	140	121
428	140	121
429	140	121
430	141	120
431	141	120
432	141	120
433	142	119
434	142	119
435	142	119
436	143	118
437	143	118
438	143	118
439	144	117
440	144	117
441	144	117
442	145	117
443	145	116
444	145	116
445	146	116
446	146	115
447	146	115
448	147	115
449	147	114
450	147	114
451	148	114
452	148	113
453	148	113
454	149	113
455	149	112
456	149	112
457	150	112
458	150	111
459	150	111
460	151	111
461	151	110
462	151	110
463	151	110
464	152	109
465	152	109
466	152	109
467	153	108
468	153	108
469	153	108
470	154	107
471	154	107
472	154	107
473	155	106
474	155	106
475	155	106
476	156	105
477	156	105
478	156	105
479	157	104
480	157	104
481	157	104
482	158	103
483	158	103
484	158	103
485	159	102
486	159	102
487	159	102
488	160	101
489	160	101
490	160	101
491	161	100
492	161	100
493	161	100
494	162	99
495	162	99
496	162	99
497	163	98
498	163	98
499	163	98
500	164	97
501	164	97
502	164	97
503	165	96
504	165	96
505	165	96
506	166	96
507	166	95
508	166	95
509	167	95
510	167	94
511	167	94
512	168	94
513	168	93
514	168	93
515	169	93
516	169	92
517	169	92
518	170	92
519	170	91
520	170	91
521	171	91
522	171	90
523	171	90
524	172	90
525	172	89
526	172	89
527	172	89
528	173	88
529	173	88
530	173	88
531	174	87
532	174	87
533	174	87
534	175	86
535	175	86
536	175	86
537	176	85
538	176	85
539	176	85
540	177	84
541	177	84
542	177	84
543	178	83
544	178	83
545	178	83
546	179	82
547	179	82
548	179	82
549	180	81
550	180	81
551	180	81
552	181	80
553	181	80
554	181	80
555	182	79
556	182	79
557	182	79
558	183	78
559	183	78
560	183	78
561	184	77
562	184	77
563	184	77
564	185	77
565	185	76
566	185	76
567	186	76
568	186	75
569	186	75
570	187	75
571	187	74
572	187	74
573	188	74
574	188	73
575	188	73
576	189	73
577	189	72
578	189	72
579	190	72
580	190	71
581	190	71
582	191	71
583	191	70
584	191	70
585	192	70
586	192	69
587	192	69
588	193	69
589	193	68
590	193	68
591	193	68
592	194	67
593	194	67
594	194	67
595	195	66
596	195	66
597	195	66
598	196	65
599	196	65
600	196	65
601	197	64
602	197	64
603	197	64
604	198	63
605	198	63
606	199	63
607	199	62
608	199	62
609	200	62
610	200	62
611	200	61
612	201	61
613	201	61
614	202	60
615	202	60
616	202	60
617	203	59
618	203	59
619	204	59
620	204	58
621	204	58
622	205	58
623	205	57
624	205	57
625	206	57
626	206	56
627	206	56
628	207	56
629	207	56
630	207	55
631	208	55
632	208	55
633	209	54
634	209	54
635	209	54
636	210	53
637	210	53
638	210	53
639	211	52
640	211	52
641	211	52
642	212	51
643	212	51
644	213	51
645	213	50
646	213	50
647	214	50
648	214	49
649	214	49
650	215	49
651	215	48
652	215	48
653	216	48
654	216	47
655	216	47
656	217	47
657	217	46
658	217	46
659	218	46
660	218	45
661	218	45
662	219	45
663	219	44
664	219	44
665	220	44
666	220	43
667	220	43
668	221	43
669	221	42
670	221	42
671	222	42
672	222	41
673	222	41
674	223	41
675	223	40
676	223	40
677	224	40
678	224	39
679	224	39
680	224	39
681	225	38
682	225	38
683	225	38
684	226	37
685	226	37
686	226	37
687	227	36
688	227	36
689	227	36
690	228	35
691	228	35
692	228	35
693	229	35
694	229	34
695	229	34
696	230	34
697	230	33
698	230	33
699	231	33
700	231	32
701	231	32
702	232	32
703	232	31
704	232	31
705	233	31
706	233	30
707	233	30
708	234	30
709	234	29
710	234	29
711	235	29
712	235	28
713	235	28
714	236	28
715	236	27
716	236	27
717	236	27
718	237	26
719	237	26
720	237	26
721	238	25
722	238	25
723	238	25
724	239	24
725	239	24
726	239	24
727	240	23
728	240	23
729	240	23
730	241	22
731	241	22
732	241	22
733	242	21
734	242	21
735	242	21
736	243	20
737	243	20
738	243	20
739	244	19
740	244	19
741	244	19
742	245	18
743	245	18
744	245	18
745	246	17
746	246	17
747	246	17
748	247	16
749	247	16
750	247	16
751	248	15
752	248	15
753	248	15
754	249	14
755	249	14
756	249	14
757	250	13
758	250	13
759	250	13
760	251	12
761	251	12
762	251	12
763	252	11
764	252	11
765	252	11
766	252	10
767	253	10
768	253	10
769	254	9
770	254	9
771	254	9
772	255	8
773	255	8
774	255	8
775	256	7
776	256	7
777	256	7
778	257	6
779	257	6
780	257	6
781	258	5
782	258	5
783	258	5
784	259	4
785	259	4
786	259	4
787	260	3
788	260	3
789	260	3
790	261	2
791	261	2
792	261	2
793	262	1
794	262	1
795	262	1
796	263	0
797	263	0
798	263	0
799	264	0
